Ref,Connectivity,Point.First.Moment,Point.Second.Moment,Visual.Entropy.R2,Visual.Entropy.R3,Visual.Entropy.R4,Visual.Entropy.R5,Visual.Entropy.R6,Visual.Entropy.R7,Visual.Integration..HH..R2,Visual.Integration..HH..R3,Visual.Integration..HH..R4,Visual.Integration..HH..R5,Visual.Integration..HH..R6,Visual.Integration..HH..R7,Visual.Integration..P.value..R2,Visual.Integration..P.value..R3,Visual.Integration..P.value..R4,Visual.Integration..P.value..R5,Visual.Integration..P.value..R6,Visual.Integration..P.value..R7,Visual.Integration..Tekl..R2,Visual.Integration..Tekl..R3,Visual.Integration..Tekl..R4,Visual.Integration..Tekl..R5,Visual.Integration..Tekl..R6,Visual.Integration..Tekl..R7,Visual.Mean.Depth.R2,Visual.Mean.Depth.R3,Visual.Mean.Depth.R4,Visual.Mean.Depth.R5,Visual.Mean.Depth.R6,Visual.Mean.Depth.R7,Visual.Node.Count.R2,Visual.Node.Count.R3,Visual.Node.Count.R4,Visual.Node.Count.R5,Visual.Node.Count.R6,Visual.Node.Count.R7,Visual.Relativised.Entropy.R2,Visual.Relativised.Entropy.R3,Visual.Relativised.Entropy.R4,Visual.Relativised.Entropy.R5,Visual.Relativised.Entropy.R6,Visual.Relativised.Entropy.R7,i,j,x,y,risk
65560,193,1407312,12320070000,0.99885702,1.3412246,1.6635954,2.0593443,2.2695723,2.2695723,11.722281,5.204998,3.8086689,3.3416324,3.1981466,3.1981466,1.8820353,0.6904968,0.44703981,0.37498921,0.35519931,0.35519931,0.99222809,0.85587877,0.82350141,0.81267923,0.80914289,0.80914289,1.5199004,2.4344106,3.2253058,3.6558604,3.8044713,3.8044713,403,1053,2127,2808,2998,2998,2.0999339,2.5760717,2.7764709,2.6461301,2.5360014,2.5360014,1,24,-77700,-25200,8
65561,203,1456436.4,12979120000,0.99840945,1.3780676,1.6818264,2.0731523,2.2825048,2.2825048,11.799395,5.3249779,3.8362384,3.3569422,3.2111361,3.2111361,1.8711296,0.70641339,0.45027578,0.37670729,0.35664201,0.35664201,0.9910804,0.85855198,0.82420391,0.81309605,0.809506,0.809506,1.5234742,2.4020913,3.2093132,3.6437478,3.7931263,3.7931263,427,1053,2127,2808,2998,2998,2.1038811,2.5197082,2.7551682,2.6321998,2.5236092,2.5236092,1,25,-77700,-24500,6
65562,218,1612684.1,15594250000,0.9996025,1.3785506,1.6820655,2.0733333,2.2826746,2.2826746,12.650312,5.3796864,3.8485289,3.3637414,3.2169006000000002,3.2169006000000002,2.0060668,0.71367103,0.45171836,0.37747025,0.35728222,0.35728222,1.0040101,0.85975641,0.82451588,0.8132807,0.80966675,0.80966675,1.4882629,2.3878326,3.2022579,3.6384039,3.7881215,3.7881215,427,1053,2127,2808,2998,2998,2.0676742,2.5145917,2.7556045,2.6335118,2.5251286,2.5251286,1,26,-77700,-23800,4
65563,228,1699868.4,16990260000,0.99641961,1.3772619,1.6814277,2.0728502,2.282222,2.282222,13.289218,5.4167876,3.8567662,3.3682895,3.2207551,3.2207551,2.1073835,0.71859288,0.45268524,0.37798062,0.3577103,0.3577103,1.0133644,0.86056817,0.8247245,0.81340402,0.80977416,0.80977416,1.4647887,2.3783269,3.1975541,3.6348414,3.7847848,3.7847848,427,1053,2127,2808,2998,2998,2.0468483,2.5127234,2.75668,2.6349838,2.5267017,2.5267017,1,27,-77700,-23100,4
65564,246,1911753.6,20287959000,0.98261541,1.3716719,1.6786616,2.0707552,2.2802598,2.2802598,14.618139,5.4848757,3.8716829,3.376507,3.2277162,3.2277162,2.3181217,0.72762549,0.45443606,0.37890276,0.35848346,0.35848346,1.0319635,0.86204749,0.82510149,0.81362659,0.80996782,0.80996782,1.4225352,2.3612168,3.1890874,3.6284289,3.7787788,3.7787788,427,1053,2127,2808,2998,2998,2.016063,2.5124919,2.7602088,2.6388464,2.5306704,2.5306704,1,28,-77700,-22400,4
65565,257,2031552.1,22056370000,0.9698441,1.3679473,1.6768186,2.0693595,2.2789524,2.2789524,15.522721,5.5312271,3.8816915,3.3820076,3.232374,3.232374,2.4603443,0.73377442,0.45561081,0.37952006,0.35900074,0.35900074,1.0439062,0.86304688,0.8253538,0.8137753,0.81009722,0.81009722,1.3981265,2.3498099,3.1834431,3.6241539,3.7747748,3.7747748,428,1053,2127,2808,2998,2998,2.0022545,2.511842,2.7623472,2.6412637,2.5331695,2.5331695,1,29,-77700,-21700,4
65566,255,1973868.6,21135170000,0.97257078,1.3690541,1.6773663,2.0697742,2.279341,2.279341,15.342224,5.5234475,3.8800199,3.3810897,3.2315967,3.2315967,2.4317358,0.73274243,0.45541459,0.37941703,0.35891443,0.35891443,1.0415343,0.86287957,0.82531166,0.81375051,0.81007564,0.81007564,1.4028103,2.351711,3.1843839,3.6248665,3.7754421,3.7754421,428,1053,2127,2808,2998,2998,2.0046756,2.511404,2.7617188,2.6406546,2.5325599,2.5325599,1,30,-77700,-21000,4
65567,253,1930784.5,20438391000,0.9751659,1.3701074,1.6778874,2.070169,2.2797108,2.2797108,15.165877,5.5156898,3.8783495,3.380172,3.2308199,3.2308199,2.4037848,0.73171329,0.45521855,0.37931406,0.35882816,0.35882816,1.0392004,0.86271256,0.82526958,0.81372571,0.81005406,0.81005406,1.4074942,2.3536122,3.1853247,3.6255789,3.7761095,3.7761095,428,1053,2127,2808,2998,2998,2.0072057,2.5110176,2.7611165,2.6400652,2.5319686,2.5319686,1,31,-77700,-20300,4
65568,256,1984235.1,21358610000,0.97122395,1.3685074,1.6770958,2.0695693,2.2791491,2.2791491,15.431945,5.5273342,3.8808556,3.3815486,3.2319853,3.2319853,2.4459562,0.73325807,0.45551267,0.37946853,0.35895759,0.35895759,1.0427154,0.8629632,0.8253327,0.8137629,0.81008643,0.81008643,1.4004683,2.3507605,3.1839135,3.62451,3.7751083,3.7751083,428,1053,2127,2808,2998,2998,2.0034513,2.5116167,2.7620296,2.6409566,2.5328624,2.5328624,1,32,-77700,-19600,4
65569,258,2033358.1,22143590000,0.96843123,1.3673738,1.6765349,2.0691445,2.2787511,2.2787511,15.614572,5.5351248,3.8825278,3.3824668,3.2327626,3.2327626,2.4749026,0.73429155,0.45570898,0.37957159,0.35904393,0.35904393,1.0451068,0.86313069,0.82537484,0.8137877,0.81010801,0.81010801,1.3957845,2.3488593,3.1829727,3.6237977,3.774441,3.774441,428,1053,2127,2808,2998,2998,2.001085,2.5120802,2.7626712,2.6415758,2.5334814,2.5334814,1,33,-77700,-18900,4
